22:9:48,5,33.0
22:9:48,7,32.0
22:9:48,8,16.0
22:9:48,9,32.0
22:9:48,23,36.0
22:9:48,27,37.0
22:9:48,30,32.0
22:9:48,5,33.0
22:9:48,7,32.0
22:9:48,8,16.0
22:9:48,9,32.0
22:9:48,23,36.0
22:9:48,27,37.0
22:9:48,30,32.0
22:10:17,5,33.0
22:10:17,7,37.0
22:10:17,8,23.0
22:10:17,9,33.0
22:10:17,23,35.0
22:10:17,27,38.0
22:10:17,30,36.0
22:10:17,5,33.0
22:10:17,7,37.0
22:10:17,8,23.0
22:10:17,9,33.0
22:10:17,23,35.0
22:10:17,27,38.0
22:10:17,30,36.0
22:10:46,5,29.0
22:10:46,7,28.0
22:10:46,8,25.0
22:10:46,9,35.0
22:10:46,23,37.0
22:10:46,27,29.0
22:10:46,30,20.0
22:10:46,5,29.0
22:10:46,7,28.0
22:10:46,8,25.0
22:10:46,9,35.0
22:10:46,23,37.0
22:10:46,27,29.0
22:10:46,30,20.0
22:11:15,5,30.0
22:11:15,7,36.0
22:11:15,8,39.0
22:11:15,9,34.0
22:11:15,23,25.0
22:11:15,27,27.0
22:11:15,30,40.0
22:11:15,5,30.0
22:11:15,7,36.0
22:11:15,8,39.0
22:11:15,9,34.0
22:11:15,23,25.0
22:11:15,27,27.0
22:11:15,30,40.0
22:11:44,5,28.0
22:11:44,7,34.0
22:11:44,8,35.0
22:11:44,9,38.0
22:11:44,23,39.0
22:11:44,27,34.0
22:11:44,30,40.0
22:11:44,5,28.0
22:11:44,7,34.0
22:11:44,8,35.0
22:11:44,9,38.0
22:11:44,23,39.0
22:11:44,27,34.0
22:11:44,30,40.0
22:12:13,5,21.0
22:12:13,7,34.0
22:12:13,8,32.0
22:12:13,9,35.0
22:12:13,23,37.0
22:12:13,27,21.0
22:12:13,30,36.0
22:12:13,5,21.0
22:12:13,7,34.0
22:12:13,8,32.0
22:12:13,9,35.0
22:12:13,23,37.0
22:12:13,27,21.0
22:12:13,30,36.0
22:12:42,5,37.0
22:12:42,7,33.0
22:12:42,8,36.0
22:12:42,9,37.0
22:12:42,23,35.0
22:12:42,27,26.0
22:12:42,30,43.0
22:12:42,5,37.0
22:12:42,7,33.0
22:12:42,8,36.0
22:12:42,9,37.0
22:12:42,23,35.0
22:12:42,27,26.0
22:12:42,30,43.0
22:13:11,5,34.0
22:13:11,7,37.0
22:13:11,8,35.0
22:13:11,9,35.0
22:13:11,23,37.0
22:13:11,27,35.0
22:13:11,30,39.0
22:13:11,5,34.0
22:13:11,7,37.0
22:13:11,8,35.0
22:13:11,9,35.0
22:13:11,23,37.0
22:13:11,27,35.0
22:13:11,30,39.0
22:13:40,5,29.0
22:13:40,7,38.0
22:13:40,8,35.0
22:13:40,9,36.0
22:13:40,23,39.0
22:13:40,27,32.0
22:13:40,30,39.0
22:13:40,5,29.0
22:13:40,7,38.0
22:13:40,8,35.0
22:13:40,9,36.0
22:13:40,23,39.0
22:13:40,27,32.0
22:13:40,30,39.0
22:14:9,5,34.0
22:14:9,7,38.0
22:14:9,8,37.0
22:14:9,9,37.0
22:14:9,23,38.0
22:14:9,27,36.0
22:14:9,28,39.0
22:14:9,30,39.0
22:14:9,5,34.0
22:14:9,7,38.0
22:14:9,8,37.0
22:14:9,9,37.0
22:14:9,23,38.0
